Gene	Brain_Female1	Brain_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Testis_Male1	Testis_Male2
Locus_42681	0.09	0	0	0.34	6.04	7.84	0	0.35	1.02	0.61	0	0.06
ENSXETG00000026347	42.51	49.2	40.79	54.66	69.98	83.22	81.63	90.02	5.44	23.5	21.45	48.86
ENSXETG00000001535	0.51	0.28	0.06	0.06	0.18	0.25	0.32	0	1.9	5.26	8.68	7.07
Locus_160544	0.91	0.34	2.39	0.94	0.89	0.87	2.64	5.21	0.04	0.03	0.14	0.44
ENSXETG00000021090	0.11	0.06	0	0.07	0.12	0	0.09	0	0	0.25	0.13	1.41
ENSXETG00000011273	0.21	0.09	0	0	0	0	0	0	0	0	0.16	0
ENSXETG00000030152	0	0	0	0	0.12	0.04	1.12	1.02	0	0	0	0
ENSXETG00000031605	1.88	3.24	5.73	1.76	5.93	1.43	5.79	1.22	21.24	0.17	7.34	10.32
CUFF.59859	31.79	15.52	12.73	15.91	19.43	36.09	1826.29	4790.83	0.29	0.4	232.08	29.13
ENSXETG00000005153	63.86	74.9	15.88	10.12	8.55	5.62	6.65	5.75	56.01	27.6	11.78	8.31
ENSXETG00000012181	1.3	0.97	5.02	1.13	5.54	4.42	14.09	11.24	0.3	0	5.92	4.97
ENSXETG00000013349	20.87	15.36	32.89	25.47	17.42	14.2	14.46	14.67	42.42	41.51	19.78	13.34
ENSXETG00000002261	0	0	0	0	0	0	0	0.12	0	0	0.24	0.53
ENSXETG00000015235	8.3	10.22	19.98	10.87	25.37	9.57	10.35	8.66	22.23	1.41	14.9	5.21
ENSXETG00000007957	0	0.03	0	0	0.08	0.04	0.09	0.06	0.06	0.05	0.75	0.86
ENSXETG00000011373	10	11.54	8.41	9.34	10.85	11.51	5.66	11.48	9.64	9.37	17.61	16.45
ENSXETG00000002216	23.06	20.96	5.56	2.01	2.31	1.67	1.19	0.69	0.14	0.03	8.06	5.02
ENSXETG00000029996	0.04	0.04	283.11	557.69	0.05	0.1	0	0.25	0	0	0.23	0.28
CUFF.101762	0.57	0.34	0	0	0	0	0.24	0.9	2.64	0.58	0.64	0.3
ENSXETG00000006935	0	0	0	0.05	115.53	94.42	6.44	28.03	12.23	30	0.43	0.73
ENSXETG00000005586	0	0	0	0	0	0	0	0	0	0	0	0
