Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Ovary_Female3	Testis_Male1	Testis_Male2	Testis_Male3	Testis_Male4
Locus_191643	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	3	3	4
Locus_33493	1	2	1	6	5	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSOANG00000013996	233	123	590	349	250	54	54	56	123	102	67	1468	609	449	456	1476	723	5701
Locus_93780	0	0	0	0	0	0	0	0	0	0	0	1	0	0	36	71	58	144
ENSOANG00000000226	49	31	29	36	44	4	6	11	20	12	2	45	29	71	17	167	49	144
ENSOANG00000019821	30	18	7	39	53	6	4	9	11	14	30	14	65	60	22	52	18	17
ENSOANG00000001045	0	1	10	0	0	0	0	0	1	0	0	21	10	4	1	7	3	15
Locus_75685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
ENSOANG00000003382	0	0	6	0	0	0	0	256	499	5350	6116	0	0	0	1	0	0	3
ENSOANG00000015202	255	128	669	121	234	254	388	277	380	135	110	674	257	491	129	557	287	2622
ENSOANG00000008395	43	13	11	2	1	2	0	0	0	4	3	75	100	112	2	4	1	1
ENSOANG00000011698	598	421	7189	539	373	346	371	202	244	302	213	6106	623	414	137	642	281	5071
ENSOANG00000008706	2	0	1	4	2	1	2	284	285	14	23	1125	418	238	27	128	74	330
ENSOANG00000013679	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	2	0
ENSOANG00000010316	299	116	301	156	192	215	251	186	384	133	119	1286	620	645	121	538	304	957
ENSOANG00000015284	407	241	1411	369	233	64	26	68	64	27	19	2147	288	189	142	415	193	1939
ENSOANG00000003191	111	56	333	27	19	247	324	13	38	46	6	774	322	287	15	155	35	426
ENSOANG00000003837	385	342	943	364	256	201	131	171	244	187	142	1905	557	323	287	941	644	3004
