ENSEMBL ID	hM1	hM2	hM3	hM4	hM5	hM6
ENSG00000089685	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000089692	0.0	1.1269200000000001	15.5793	0.0	1.87877	6.887569999999999
ENSG00000089693	303.45799999999997	287.936	402.585	250.601	293.842	322.635
ENSG00000089723	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000089737	196.356	238.655	335.749	493.63199999999995	168.334	275.83
ENSG00000089775	108.289	77.4951	83.6989	149.414	48.4493	81.4069
ENSG00000089818	18.1968	37.4387	67.5102	39.8253	18.9964	19.8974
ENSG00000089820	3.63636	5.36722	61.1308	10.8997	5.69425	9.69202
ENSG00000089847	0.0	3.58503	0.0	2.54237	1.9922900000000001	5.47781
ENSG00000089876	46.2981	67.3155	57.6828	103.56299999999999	41.7372	39.1022
ENSG00000089902	18.4033	26.9386	34.9141	51.5804	20.2101	43.2193
ENSG00000089916	20.2742	25.2998	24.6808	9.54963	12.2456	19.9522
ENSG00000090006	190.63	212.703	762.87	111.11399999999999	75.8844	187.69099999999997
ENSG00000090013	831.793	798.2389999999999	624.9069999999999	1342.07	607.347	929.0880000000001
ENSG00000090020	24.3015	21.266	44.8344	44.3384	5.67267	20.796
ENSG00000090054	14.1385	12.8055	39.3405	33.2978	4.74423	10.8702
ENSG00000090060	46.0182	49.0349	71.5552	81.7184	43.5999	54.1116
ENSG00000090061	61.9301	91.2803	82.8467	76.7001	33.2495	64.4625
ENSG00000090097	499.835	395.205	223.203	325.151	420.37699999999995	397.856
ENSG00000090104	0.0	0.0	11.5854	0.0	3.7257	20.4876
ENSG00000090238	244.299	321.246	390.86400000000003	495.152	382.55300000000005	711.237
ENSG00000090263	544.427	555.905	544.985	1205.43	543.599	498.209
ENSG00000090266	1150.88	1484.66	1264.08	1245.0	1463.43	918.9960000000001
ENSG00000090273	489.213	427.665	576.92	737.2339999999999	518.54	418.42
ENSG00000090316	53.9904	54.3335	128.63299999999998	119.06200000000001	47.1034	49.8119
ENSG00000090339	9.99656	19.6731	793.515	38.0494	7.4542	128.437
ENSG00000090372	67.1208	73.0243	90.8583	100.206	81.5687	84.7998
ENSG00000090376	0.0	0.6445649999999999	6.12625	6.85654	4.29841	10.8336
ENSG00000090382	10.1651	40.9188	586.9019999999999	26.1163	0.0	50.018
ENSG00000090402	0.303529	0.0	0.0	0.0	0.0	0.0
ENSG00000090432	128.969	105.06700000000001	102.531	226.16	65.9448	39.6627
ENSG00000090447	7.587839999999999	9.16328	22.4328	27.6176	10.1845	25.6688
ENSG00000090470	19.2672	27.1455	35.1822	28.8759	9.69777	20.7387
ENSG00000090487	127.86	108.65700000000001	197.65	193.145	85.8077	54.6131
ENSG00000090512	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000090520	27.1277	18.2001	89.1119	64.5342	66.75399999999999	33.3709
ENSG00000090530	2.8564700000000003	2.2997	33.1173	0.0	2.556	0.0
ENSG00000090534	0.0	0.0	7.94815	9.78518	30.671999999999997	0.0
ENSG00000090539	7.7314	8.89205	28.8117	6.14827	21.4957	21.7388
ENSG00000090554	23.1025	18.5994	77.1394	11.870999999999999	24.8068	45.4709
ENSG00000090565	54.081	62.7268	86.7178	53.3803	72.5885	58.6343
ENSG00000090581	58.6813	69.4757	84.0419	50.255	101.929	114.649
ENSG00000090612	0.0	0.0	1025.31	0.0	0.0	1813.15
ENSG00000090615	17.5367	29.9588	52.9615	15.0185	14.9266	22.0988
ENSG00000090621	1083.41	877.22	543.856	1247.06	826.2130000000001	1027.39
ENSG00000090659	0.0	0.0	4.35376	0.0	0.0	3.8495800000000004
ENSG00000090661	2.71443	0.0	57.5911	23.2466	5.46504	30.0523
ENSG00000090674	44.8278	49.0826	66.1089	69.8712	31.2877	51.8359
ENSG00000090686	24.9903	49.312	64.4228	58.7501	36.1732	35.5639
ENSG00000090776	11.027000000000001	23.6737	92.0479	81.8441	39.4682	36.1726
ENSG00000090857	51.2412	55.8135	56.6123	59.3714	20.2285	37.0788
ENSG00000090861	174.75400000000002	135.855	141.317	693.113	84.294	101.44
