cP1	cP2	cP3	cP4	cP5	cP6
32.5359	25.1689	19.2913	32.9022	28.6323	25.6776
60.4212	75.6746	53.8032	67.2074	72.5072	70.2634
57.6241	38.6687	37.3648	45.8825	76.0934	27.2926
0.0	0.0	4.3412	0.0	1.90369	0.0
17.2792	15.0804	17.5805	24.2322	26.584	25.3341
399.49199999999996	424.925	338.789	417.858	389.514	269.551
54.0394	62.8534	49.2941	47.1637	47.8318	46.568999999999996
0.0	0.8531690000000001	0.7545350000000001	0.0	0.661752	0.0
3.5074400000000003	8.13979	0.799862	1.99827	2.10452	8.356530000000001
33.1381	35.8072	47.5014	35.9609	49.2349	42.2957
120.81200000000001	111.663	195.25799999999998	116.205	154.93	168.483
32.2402	33.2535	27.570999999999998	13.7759	22.0313	25.6042
39.8972	43.1424	50.1881	35.1953	41.4426	32.9628
2.1698	1.39875	0.989632	1.85427	0.43396999999999997	2.26169
0.0	0.0	0.0	0.0	0.0	0.0
435.24199999999996	448.92199999999997	643.0930000000001	431.35900000000004	453.38800000000003	499.582
262.16700000000003	255.921	199.28799999999998	282.721	254.68200000000002	262.115
657.932	502.249	689.164	730.617	811.84	807.013
0.0	0.0	0.0	0.0	0.0	0.0
42.2796	38.417	48.6678	37.852	52.3474	39.5732
343.574	355.471	329.43800000000005	379.344	314.497	383.903
73.5044	80.34100000000001	84.0625	57.5029	57.9273	61.4245
64.9246	49.6838	54.4473	62.04600000000001	61.994	58.6301
127.18299999999999	127.587	131.907	102.568	148.21	145.281
236.963	283.933	215.235	247.02700000000002	202.482	217.419
212.21900000000002	263.293	273.783	230.75799999999998	320.155	277.366
175.44299999999998	208.676	217.622	197.018	264.286	200.843
127.449	90.0182	102.35700000000001	118.387	93.0957	127.071
179.8	150.256	143.061	195.15200000000002	216.815	168.84900000000002
64.1703	56.8347	48.3553	71.5289	96.5367	58.9943
181.482	160.445	110.36399999999999	137.859	148.64600000000002	118.39
22.3109	28.4268	25.1404	19.4404	29.3986	18.761
23.6325	24.3753	32.9699	34.8479	24.4671	26.4963
378.13	443.75699999999995	423.68800000000005	474.962	423.99199999999996	416.755
9.99095	5.49598	10.3288	8.348360000000001	6.927219999999999	7.14107
228.854	233.83	251.88099999999997	286.475	215.75099999999998	207.347
54.4053	61.2166	45.1162	41.3278	59.3526	60.8827
37.1473	34.0853	41.8066	27.2104	32.9992	31.3212
52.3651	59.5222	84.8104	81.5856	44.4579	80.2031
2.0241	2.08771	1.8463599999999998	0.0	2.15909	2.41122
128.594	91.825	93.2401	120.226	118.705	157.11700000000002
70.1122	164.002	111.92200000000001	98.4346	109.177	111.859
69.1811	77.3734	82.8743	84.5263	82.01899999999999	71.4903
49.6393	55.3791	54.5213	54.8298	76.9934	69.9944
0.0	5.76886	30.6115	31.8649	0.0	0.0
14.363	7.90103	13.1017	10.9105	18.3851	12.5473
17.4874	14.0288	3.54484	17.7119	12.4358	2.31466
94.5588	94.1087	75.6626	69.9394	59.7228	81.0245
201.25099999999998	136.564	136.879	187.072	247.157	182.96099999999998
